# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "reference/Saccharomyces_cerevisiae.R64-1-1.61.gtf" "-o" "feature-count/counts.txt" "-t" "exon" "-g" "gene_id" "mapped/batch1_chrI.sam" "mapped/batch2_chrI.sam" "mapped/batch3_chrI.sam" "mapped/chem1_chrI.sam" "mapped/chem2_chrI.sam" "mapped/chem3_chrI.sam" "-p" 
Geneid	Chr	Start	End	Strand	Length	mapped/batch1_chrI.sam	mapped/batch2_chrI.sam	mapped/batch3_chrI.sam	mapped/chem1_chrI.sam	mapped/chem2_chrI.sam	mapped/chem3_chrI.sam
YDR358W	IV	1190059	1191732	+	1674	0	0	0	0	0	0
YDR544C	IV	1525095	1525523	-	429	0	0	0	0	0	0
YDR460W	IV	1383811	1384776	+	966	0	0	0	0	0	0
snR84	IV	1492477	1493026	-	550	0	0	0	0	0	0
YDR034W-B	IV	521314	521469	+	156	0	0	0	0	0	0
YDL028C	IV	400997	403291	-	2295	0	0	0	0	0	0
YDR061W	IV	574164	575783	+	1620	0	0	0	0	0	0
YDR060W	IV	570649	573726	+	3078	0	0	0	0	0	0
YDR169C-A	IV	794574	794723	-	150	0	0	0	0	0	0
YDR363W	IV	1199183	1200553	+	1371	0	0	0	0	0	0
YDR422C	IV	1315326	1317773	-	2448	0	0	0	0	0	0
YDR119W	IV	688227	690533	+	2307	0	0	0	0	0	0
tR(ACG)D	IV	619969	620041	-	73	0	0	0	0	0	0
YDR097C	IV	640109	643837	-	3729	0	0	0	0	0	0
YDR042C	IV	540601	541203	-	603	0	0	0	0	0	0
YDL160C	IV	170410	171930	-	1521	0	0	0	0	0	0
YDR425W	IV	1320064	1321941	+	1878	0	0	0	0	0	0
snR13	IV	1402919	1403042	+	124	0	0	0	0	0	0
YDR228C	IV	921926	923806	-	1881	0	0	0	0	0	0
YDR319C	IV	1105003	1105827	-	825	0	0	0	0	0	0
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	0	0	0	0	0	0
YDR089W	IV	622112	624721	+	2610	0	0	0	0	0	0
tD(GUC)D	IV	568964	569035	+	72	0	0	0	0	0	0
YDR275W	IV	1012252	1012959	+	708	0	0	0	0	0	0
YDR043C	IV	542674	543369	-	696	0	0	0	0	0	0
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	0	0	0	0	0	0
YDR136C	IV	727711	728283	-	573	0	0	0	0	0	0
YDL066W	IV	334835	336121	+	1287	0	0	0	0	0	0
YDR302W	IV	1067731	1068390	+	660	0	0	0	0	0	0
YDR239C	IV	941057	943420	-	2364	0	0	0	0	0	0
YDR539W	IV	1512094	1513605	+	1512	0	0	0	0	0	0
tK(CUU)D1	IV	1201750	1201822	+	73	0	0	0	0	0	0
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	0	0	0	0	0	0
YDR493W	IV	1436217	1436588	+	372	0	0	0	0	0	0
YDR101C	IV	655686	657467	-	1782	0	0	0	0	0	0
YDR182W-A	IV	829151	829354	+	204	0	0	0	0	0	0
YDR212W	IV	887232	888911	+	1680	0	0	0	0	0	0
YDR476C	IV	1410453	1411127	-	675	0	0	0	0	0	0
YDL131W	IV	227393	228715	+	1323	0	0	0	0	0	0
YDR458C	IV	1380055	1382046	-	1992	0	0	0	0	0	0
YDR081C	IV	607304	610081	-	2778	0	0	0	0	0	0
YDL071C	IV	330666	331040	-	375	0	0	0	0	0	0
YDR113C	IV	680496	681617	-	1122	0	0	0	0	0	0
YDR168W	IV	790328	791848	+	1521	0	0	0	0	0	0
YDR520C	IV	1481085	1483403	-	2319	0	0	0	0	0	0
YDR307W	IV	1075865	1077853	+	1989	0	0	0	0	0	0
YDR265W	IV	998864	999877	+	1014	0	0	0	0	0	0
YDL076C	IV	320668	321552	-	885	0	0	0	0	0	0
YDL006W	IV	439909	440754	+	846	0	0	0	0	0	0
YDL086W	IV	301413	302234	+	822	0	0	0	0	0	0
YDR238C	IV	937895	940816	-	2922	0	0	0	0	0	0
YDR077W	IV	600793	601809	+	1017	0	0	0	0	0	0
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	0	0	0	0	0	0
YDL023C	IV	411761	412081	-	321	0	0	0	0	0	0
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	0	0	0	0	0	0
YDR036C	IV	523211	524713	-	1503	0	0	0	0	0	0
YDR057W	IV	565927	567555	+	1629	0	0	0	0	0	0
YDR513W	IV	1471017	1471448	+	432	0	0	0	0	0	0
YDR487C	IV	1428354	1428980	-	627	0	0	0	0	0	0
YDR066C	IV	581908	582498	-	591	0	0	0	0	0	0
YDR352W	IV	1181801	1182754	+	954	0	0	0	0	0	0
YDR278C	IV	1017001	1017318	-	318	0	0	0	0	0	0
YDR079C-A	IV	603593	603811	-	219	0	0	0	0	0	0
YDR204W	IV	858137	859144	+	1008	0	0	0	0	0	0
YDL247W-A	IV	3762	3836	+	75	0	0	0	0	0	0
YDL024C	IV	408451	409857	-	1407	0	0	0	0	0	0
tA(AGC)D	IV	410379	410451	+	73	0	0	0	0	0	0
YDR109C	IV	673520	675667	-	2148	0	0	0	0	0	0
YDR466W	IV	1395121	1397817	+	2697	0	0	0	0	0	0
YDR427W	IV	1322205	1323386	+	1182	0	0	0	0	0	0
YDL044C	IV	373967	375289	-	1323	0	0	0	0	0	0
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	0	0	0	0	0	0
YDR193W	IV	844554	844952	+	399	0	0	0	0	0	0
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	0	0	0	0	0	0
YDR377W	IV	1228611	1228916	+	306	0	0	0	0	0	0
YDR219C	IV	905455	906852	-	1398	0	0	0	0	0	0
YDR416W	IV	1298432	1301011	+	2580	0	0	0	0	0	0
YDR365C	IV	1204497	1206383	-	1887	0	0	0	0	0	0
YDL233W	IV	36797	38173	+	1377	0	0	0	0	0	0
YDR287W	IV	1035995	1036873	+	879	0	0	0	0	0	0
YDR448W	IV	1356065	1357369	+	1305	0	0	0	0	0	0
YDR180W	IV	821295	825776	+	4482	0	0	0	0	0	0
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	0	0	0	0	0	0
tT(AGU)D	IV	434264	434336	-	73	0	0	0	0	0	0
YDR294C	IV	1050459	1052228	-	1770	0	0	0	0	0	0
YDR198C	IV	852533	853972	-	1440	0	0	0	0	0	0
YDL163W	IV	166956	167258	+	303	0	0	0	0	0	0
YDL119C	IV	246689	247612	-	924	0	0	0	0	0	0
YDR501W	IV	1451353	1452918	+	1566	0	0	0	0	0	0
YDL214C	IV	74446	76545	-	2100	0	0	0	0	0	0
YDR264C	IV	996029	998323	-	2295	0	0	0	0	0	0
YDR343C	IV	1159608	1161320	-	1713	0	0	0	0	0	0
YDR373W	IV	1222759	1223331	+	573	0	0	0	0	0	0
YDR354W	IV	1184747	1185889	+	1143	0	0	0	0	0	0
YDR246W	IV	954288	954947	+	660	0	0	0	0	0	0
YDR428C	IV	1323454	1324239	-	786	0	0	0	0	0	0
YDR157W	IV	769931	770332	+	402	0	0	0	0	0	0
YDR316W	IV	1093763	1095178	+	1416	0	0	0	0	0	0
YDL142C	IV	201719	202570	-	852	0	0	0	0	0	0
YDR253C	IV	963990	964565	-	576	0	0	0	0	0	0
YDL112W	IV	258915	263225	+	4311	0	0	0	0	0	0
YDR545W	IV	1526321	1531711	+	5391	0	0	0	0	0	0
YDL187C	IV	125509	125838	-	330	0	0	0	0	0	0
YDL138W	IV	213351	215642	+	2292	0	0	0	0	0	0
YDR528W	IV	1494586	1495857	+	1272	0	0	0	0	0	0
YDR284C	IV	1030550	1031419	-	870	0	0	0	0	0	0
YDR050C	IV	555726	556472	-	747	0	0	0	0	0	0
YDL010W	IV	432330	433025	+	696	0	0	0	0	0	0
YDL065C	IV	336249	337277	-	1029	0	0	0	0	0	0
YDR349C	IV	1172386	1174176	-	1791	0	0	0	0	0	0
YDL098C	IV	284581	285165	-	585	0	0	0	0	0	0
YDL234C	IV	34237	36477	-	2241	0	0	0	0	0	0
YDR118W	IV	685882	687840	+	1959	0	0	0	0	0	0
YDR118W-A	IV	687768	687884	+	117	0	0	0	0	0	0
YDR159W	IV	771877	775782	+	3906	0	0	0	0	0	0
YDR111C	IV	678241	679764	-	1524	0	0	0	0	0	0
YDR128W	IV	709549	712995	+	3447	0	0	0	0	0	0
YDL034W	IV	391783	392127	+	345	0	0	0	0	0	0
YDR065W	IV	580687	581784	+	1098	0	0	0	0	0	0
YDL004W	IV	443029	443511	+	483	0	0	0	0	0	0
YDR024W	IV	491017	491502	+	486	0	0	0	0	0	0
YDL171C	IV	149203	155640	-	6438	0	0	0	0	0	0
YDR083W	IV	612073	613251	+	1179	0	0	0	0	0	0
YDR457W	IV	1369790	1379596	+	9807	0	0	0	0	0	0
YDR014W	IV	474046	475989	+	1944	0	0	0	0	0	0
YDR206W	IV	862054	864708	+	2655	0	0	0	0	0	0
YDR478W	IV	1414575	1415171	+	597	0	0	0	0	0	0
YDR169C	IV	792348	793889	-	1542	0	0	0	0	0	0
YDR115W	IV	682175	682492	+	318	0	0	0	0	0	0
YDL159W-A	IV	172182	172313	+	132	0	0	0	0	0	0
YDL232W	IV	38487	38597	+	111	0	0	0	0	0	0
YDL240C-A	IV	22471	22608	-	138	0	0	0	0	0	0
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0	0	0
YDL152W	IV	182822	183187	+	366	0	0	0	0	0	0
YDR432W	IV	1328783	1330027	+	1245	0	0	0	0	0	0
YDL022C-A	IV	409808	410056	-	249	0	0	0	0	0	0
YDL114W-A	IV	254935	255048	+	114	0	0	0	0	0	0
YDR410C	IV	1292372	1293091	-	720	0	0	0	0	0	0
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0	0	0
YDL072C	IV	329836	330447	-	612	0	0	0	0	0	0
YDR053W	IV	560249	560644	+	396	0	0	0	0	0	0
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	0	0	0	0	0	0
YDR482C	IV	1420431	1420838	-	408	0	0	0	0	0	0
YDL070W	IV	331024	332940	+	1917	0	0	0	0	0	0
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	0	0	0	0	0	0
YDL135C	IV	218680	219288	-	609	0	0	0	0	0	0
YDL077C	IV	316971	320120	-	3150	0	0	0	0	0	0
YDR354C-A	IV	1185139	1185282	-	144	0	0	0	0	0	0
YDL033C	IV	392659	393912	-	1254	0	0	0	0	0	0
YDL031W	IV	394217	397204	+	2988	0	0	0	0	0	0
YDR398W	IV	1267471	1269402	+	1932	0	0	0	0	0	0
YDR326C	IV	1120609	1124925	-	4317	0	0	0	0	0	0
YDL052C	IV	362672	363583	-	912	0	0	0	0	0	0
YDR536W	IV	1508005	1509714	+	1710	0	0	0	0	0	0
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	0	0	0	0	0	0
YDL116W	IV	251566	253746	+	2181	0	0	0	0	0	0
YDR028C	IV	497835	500879	-	3045	0	0	0	0	0	0
YDL007W	IV	438047	439360	+	1314	0	0	0	0	0	0
YDR236C	IV	935236	935892	-	657	0	0	0	0	0	0
YDR011W	IV	465919	470424	+	4506	0	0	0	0	0	0
YDR155C	IV	768512	769000	-	489	0	0	0	0	0	0
YDR414C	IV	1295598	1296686	-	1089	0	0	0	0	0	0
YDR026C	IV	492556	494268	-	1713	0	0	0	0	0	0
YDL073W	IV	326613	329567	+	2955	0	0	0	0	0	0
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	0	0	0	0	0	0
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	0	0	0	0	0	0
YDL145C	IV	194571	198176	-	3606	0	0	0	0	0	0
YDR203W	IV	857682	857999	+	318	0	0	0	0	0	0
YDL104C	IV	273653	274876	-	1224	0	0	0	0	0	0
YDL149W	IV	184925	187918	+	2994	0	0	0	0	0	0
YDR231C	IV	926293	926910	-	618	0	0	0	0	0	0
YDR045C	IV	547978	548310	-	333	0	0	0	0	0	0
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	0	0	0	0	0	0
YDR415C	IV	1297037	1298161	-	1125	0	0	0	0	0	0
YDR339C	IV	1149951	1150520	-	570	0	0	0	0	0	0
YDL213C	IV	77289	77966	-	678	0	0	0	0	0	0
YDR096W	IV	637139	639823	+	2685	0	0	0	0	0	0
YDL019C	IV	417663	421514	-	3852	0	0	0	0	0	0
YDL022W	IV	411825	413000	+	1176	0	0	0	0	0	0
YDR413C	IV	1294836	1295411	-	576	0	0	0	0	0	0
YDR391C	IV	1257358	1258056	-	699	0	0	0	0	0	0
YDR091C	IV	626708	628534	-	1827	0	0	0	0	0	0
YDR240C	IV	943674	945152	-	1479	0	0	0	0	0	0
YDL244W	IV	16204	17226	+	1023	0	0	0	0	0	0
YDR179C	IV	818708	819196	-	489	0	0	0	0	0	0
YDL165W	IV	164290	164865	+	576	0	0	0	0	0	0
YDL140C	IV	205360	210561	-	5202	0	0	0	0	0	0
YDR120C	IV	691549	693261	-	1713	0	0	0	0	0	0
YDR003W	IV	454122	454754	+	633	0	0	0	0	0	0
YDR499W	IV	1447830	1450073	+	2244	0	0	0	0	0	0
YDR166C	IV	786306	789221	-	2916	0	0	0	0	0	0
YDL092W	IV	292781	293221	+	441	0	0	0	0	0	0
YDL041W	IV	378102	378455	+	354	0	0	0	0	0	0
YDL241W	IV	20635	21006	+	372	0	0	0	0	0	0
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	0	0	0	0	0	0
YDR277C	IV	1014401	1015702	-	1302	0	0	0	0	0	0
YDR291W	IV	1039728	1042961	+	3234	0	0	0	0	0	0
YDR475C	IV	1407464	1410094	-	2631	0	0	0	0	0	0
YDR244W	IV	950563	952401	+	1839	0	0	0	0	0	0
YDR407C	IV	1284069	1287938	-	3870	0	0	0	0	0	0
YDR382W	IV	1239492	1239824	+	333	0	0	0	0	0	0
YDR102C	IV	657648	657980	-	333	0	0	0	0	0	0
YDL188C	IV	123865	124998	-	1134	0	0	0	0	0	0
YDR405W	IV	1277646	1278437	+	792	0	0	0	0	0	0
YDR443C	IV	1345676	1349938	-	4263	0	0	0	0	0	0
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	0	0	0	0	0	0
YDR144C	IV	744311	746101	-	1791	0	0	0	0	0	0
YDL157C	IV	174232	174588	-	357	0	0	0	0	0	0
YDL058W	IV	345665	351037	+	5373	0	0	0	0	0	0
YDL096C	IV	286998	287324	-	327	0	0	0	0	0	0
YDL155W	IV	176773	178056	+	1284	0	0	0	0	0	0
YDR147W	IV	751631	753235	+	1605	0	0	0	0	0	0
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	0	0	0	0	0	0
YDL128W	IV	232652	233887	+	1236	0	0	0	0	0	0
YDR310C	IV	1081128	1084316	-	3189	0	0	0	0	0	0
YDL160C-A	IV	169366	169608	-	243	0	0	0	0	0	0
YDR127W	IV	704484	709250	+	4767	0	0	0	0	0	0
YDR497C	IV	1443713	1445467	-	1755	0	0	0	0	0	0
YDL162C	IV	167359	167715	-	357	0	0	0	0	0	0
tS(AGA)D3	IV	1305630	1305712	+	83	0	0	0	0	0	0
YDR201W	IV	856317	856814	+	498	0	0	0	0	0	0
YDR163W	IV	781423	781950	+	528	0	0	0	0	0	0
YDL146W	IV	192750	194225	+	1476	0	0	0	0	0	0
YDR363W-A	IV	1202128	1202397	+	270	0	0	0	0	0	0
YDL221W	IV	62011	62562	+	552	0	0	0	0	0	0
YDL089W	IV	296820	298274	+	1455	0	0	0	0	0	0
YDR385W	IV	1243230	1245758	+	2529	0	0	0	0	0	0
YDR331W	IV	1129588	1130823	+	1236	0	0	0	0	0	0
YDR196C	IV	850274	850999	-	726	0	0	0	0	0	0
YDR116C	IV	682724	683581	-	858	0	0	0	0	0	0
YDR001C	IV	450220	452475	-	2256	0	0	0	0	0	0
YDL230W	IV	42700	43707	+	1008	0	0	0	0	0	0
YDR160W	IV	776163	778721	+	2559	0	0	0	0	0	0
YDR123C	IV	698554	699468	-	915	0	0	0	0	0	0
YDR322W	IV	1110589	1111692	+	1104	0	0	0	0	0	0
YDR040C	IV	535192	538467	-	3276	0	0	0	0	0	0
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	0	0	0	0	0	0
YDR046C	IV	548762	550576	-	1815	0	0	0	0	0	0
YDL057W	IV	351434	352420	+	987	0	0	0	0	0	0
YDL248W	IV	1802	2953	+	1152	0	0	0	0	0	0
YDR008C	IV	462252	462602	-	351	0	0	0	0	0	0
YDR029W	IV	501100	501414	+	315	0	0	0	0	0	0
YDR485C	IV	1424820	1427207	-	2388	0	0	0	0	0	0
YDR408C	IV	1288215	1288859	-	645	0	0	0	0	0	0
YDR038C	IV	527422	530697	-	3276	0	0	0	0	0	0
YDL204W	IV	94605	95786	+	1182	0	0	0	0	0	0
YDR019C	IV	484163	485365	-	1203	0	0	0	0	0	0
YDR477W	IV	1412373	1414274	+	1902	0	0	0	0	0	0
YDR254W	IV	965113	966489	+	1377	0	0	0	0	0	0
YDR514C	IV	1471548	1472999	-	1452	0	0	0	0	0	0
YDR296W	IV	1055212	1055892	+	681	0	0	0	0	0	0
YDL216C	IV	68997	70319	-	1323	0	0	0	0	0	0
YDL100C	IV	282112	283176	-	1065	0	0	0	0	0	0
YDL068W	IV	333500	333829	+	330	0	0	0	0	0	0
YDL026W	IV	404749	405060	+	312	0	0	0	0	0	0
YDL124W	IV	240259	241197	+	939	0	0	0	0	0	0
YDL227C	IV	46271	48031	-	1761	0	0	0	0	0	0
YDL111C	IV	263313	264110	-	798	0	0	0	0	0	0
YDR324C	IV	1114433	1116763	-	2331	0	0	0	0	0	0
YDL170W	IV	156318	157904	+	1587	0	0	0	0	0	0
YDR317W	IV	1102184	1103428	+	1245	0	0	0	0	0	0
YDR436W	IV	1334821	1336953	+	2133	0	0	0	0	0	0
YDR208W	IV	868224	870563	+	2340	0	0	0	0	0	0
YDR386W	IV	1246084	1247982	+	1899	0	0	0	0	0	0
YDR504C	IV	1456311	1456694	-	384	0	0	0	0	0	0
YDL220C	IV	62244	65018	-	2775	0	0	0	0	0	0
YDR396W	IV	1266295	1266795	+	501	0	0	0	0	0	0
YDR258C	IV	971808	974243	-	2436	0	0	0	0	0	0
YDR176W	IV	814452	816560	+	2109	0	0	0	0	0	0
YDL099W	IV	283419	284444	+	1026	0	0	0	0	0	0
YDR380W	IV	1234218	1236125	+	1908	0	0	0	0	0	0
YDL110C	IV	264512	264964	-	453	0	0	0	0	0	0
YDR148C	IV	753675	755066	-	1392	0	0	0	0	0	0
YDL201W	IV	99561	100421	+	861	0	0	0	0	0	0
YDL107W	IV	268921	269976	+	1056	0	0	0	0	0	0
YDR515W	IV	1473429	1474772	+	1344	0	0	0	0	0	0
YDR133C	IV	720962	721297	-	336	0	0	0	0	0	0
YDR378C	IV	1229349	1229609	-	261	0	0	0	0	0	0
YDR473C	IV	1404445	1405854	-	1410	0	0	0	0	0	0
YDR403W	IV	1274602	1276212	+	1611	0	0	0	0	0	0
YDR268W	IV	1004004	1005143	+	1140	0	0	0	0	0	0
YDR409W	IV	1289406	1292120	+	2715	0	0	0	0	0	0
YDR173C	IV	810565	811632	-	1068	0	0	0	0	0	0
YDR187C	IV	836228	836746	-	519	0	0	0	0	0	0
YDR389W	IV	1252537	1254501	+	1965	0	0	0	0	0	0
YDR417C	IV	1301555	1301926	-	372	0	0	0	0	0	0
YDR165W	IV	784871	786205	+	1335	0	0	0	0	0	0
YDL113C	IV	256633	258555	-	1923	0	0	0	0	0	0
YDR426C	IV	1321629	1322006	-	378	0	0	0	0	0	0
YDR521W	IV	1483141	1483476	+	336	0	0	0	0	0	0
YDR086C	IV	616928	617170	-	243	0	0	0	0	0	0
YDL021W	IV	413953	414888	+	936	0	0	0	0	0	0
YDR023W	IV	489508	490896	+	1389	0	0	0	0	0	0
YDR394W	IV	1261681	1262967	+	1287	0	0	0	0	0	0
YDR320C-A	IV	1108280	1108498	-	219	0	0	0	0	0	0
YDR003W-A	IV	454782	454904	+	123	0	0	0	0	0	0
YDR183W	IV	829585	830277	+	693	0	0	0	0	0	0
YDR245W	IV	952800	953981	+	1182	0	0	0	0	0	0
YDR431W	IV	1328390	1328701	+	312	0	0	0	0	0	0
YDL154W	IV	178334	181039	+	2706	0	0	0	0	0	0
YDL184C	IV	130407	130484	-	78	0	0	0	0	0	0
YDR153C	IV	766736	767971	-	1236	0	0	0	0	0	0
YDR014W-A	IV	477797	478285	+	489	0	0	0	0	0	0
YDR434W	IV	1331237	1332841	+	1605	0	0	0	0	0	0
YDL002C	IV	446967	447578	-	612	0	0	0	0	0	0
YDR225W	IV	915530	915928	+	399	0	0	0	0	0	0
YDR418W	IV	1301616	1302113	+	498	0	0	0	0	0	0
YDR224C	IV	914317	914712	-	396	0	0	0	0	0	0
YDR502C	IV	1453310	1454464	-	1155	0	0	0	0	0	0
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	0	0	0	0	0	0
YDL039C	IV	381985	384081	-	2097	0	0	0	0	0	0
YDL225W	IV	52445	54100	+	1656	0	0	0	0	0	0
YDR259C	IV	974631	975782	-	1152	0	0	0	0	0	0
YDR495C	IV	1438115	1441150	-	3036	0	0	0	0	0	0
YDL151C	IV	183318	183899	-	582	0	0	0	0	0	0
YDR357C	IV	1189199	1189567	-	369	0	0	0	0	0	0
YDR370C	IV	1217782	1219110	-	1329	0	0	0	0	0	0
YDR298C	IV	1058176	1058814	-	639	0	0	0	0	0	0
YDR276C	IV	1013476	1013643	-	168	0	0	0	0	0	0
YDL185C-A	IV	126608	126835	-	228	0	0	0	0	0	0
YDR545C-A	IV	1530863	1531342	-	480	0	0	0	0	0	0
tM(CAU)D	IV	1175829	1175901	+	73	0	0	0	0	0	0
YDL247W	IV	5985	7814	+	1830	0	0	0	0	0	0
YDR406W	IV	1279210	1283799	+	4590	0	0	0	0	0	0
YDR273W	IV	1010176	1011273	+	1098	0	0	0	0	0	0
YDR269C	IV	1005665	1005988	-	324	0	0	0	0	0	0
YDR453C	IV	1365072	1365662	-	591	0	0	0	0	0	0
YDR383C	IV	1239960	1240676	-	717	0	0	0	0	0	0
YDR375C	IV	1225166	1226536	-	1371	0	0	0	0	0	0
YDL161W	IV	167714	169078	+	1365	0	0	0	0	0	0
YDL051W	IV	363952	364779	+	828	0	0	0	0	0	0
YDR084C	IV	613405	614004	-	600	0	0	0	0	0	0
YDL056W	IV	352877	355378	+	2502	0	0	0	0	0	0
YDR344C	IV	1162006	1162449	-	444	0	0	0	0	0	0
YDR320C	IV	1106095	1108101	-	2007	0	0	0	0	0	0
YDR221W	IV	907330	909438	+	2109	0	0	0	0	0	0
tI(AAU)D	IV	668007	668080	-	74	0	0	0	0	0	0
YDL032W	IV	393690	394001	+	312	0	0	0	0	0	0
YDR456W	IV	1367485	1369386	+	1902	0	0	0	0	0	0
YDL036C	IV	387513	388901	-	1389	0	0	0	0	0	0
tL(CAA)D	IV;IV	1461715;1461792	1461758;1461829	-;-	82	0	0	0	0	0	0
YDL217C	IV	67983	68606	-	624	0	0	0	0	0	0
snR63	IV	323217	323471	-	255	0	0	0	0	0	0
YDR334W	IV	1135932	1140476	+	4545	0	0	0	0	0	0
